data_id,value,value_log,value_category,value_log_scaled,precision_scaled,characteristic_order_scaled,indicator_order_scaled,data_quality_score_scaled,is_preferred,high_precision,indicator_encoded,survey_cohort,dataset_source_encoded,char_order_quintile,indicator_importance,sample_size_tier,by_var_0,by_var_14000,by_var_14001,by_var_14002,by_var_Other,type_D,type_I,type_S,type_T,type_U,char_Five year periods,char_Source of vaccination information,char_Total,char_Total 15-49
157236,6.5,2.0149030205422647,Low,-0.8660526835950221,0.6602681824085275,-0.32273957024573297,-0.6631577722625873,0.6249303506845532,1,1,123,30,1,1,Low,Medium,0,0,0,1,0,0,1,0,0,0,0,0,1,0
157232,100,4.61512051684126,High,0.20382898192576954,0.6602681824085275,-0.32273957024573297,-0.6631576198009151,-1.5980361824647868,0,1,9,41,1,1,Low,Medium,0,1,0,0,0,0,0,0,1,0,0,0,1,0
653708,100,4.61512051684126,High,0.20382898192576954,0.6602681824085275,-0.32273957024573297,-0.6631576198009151,-1.5980361824647868,0,1,9,58,1,1,Low,Medium,0,0,1,0,0,0,0,0,1,0,0,0,1,0
157239,100,4.61512051684126,High,0.20382898192576954,0.6602681824085275,-0.32273957024573297,-0.6631576198009151,0.6249303506845532,1,1,9,30,1,1,Low,Medium,0,0,0,1,0,0,0,0,1,0,0,0,1,0
157226,93.9,4.552823705615882,High,0.17819642763163554,0.6602681824085275,-0.32273957024573297,-0.6631574673392429,-1.5980361824647868,0,1,3,41,1,1,Low,Medium,0,1,0,0,0,0,1,0,0,0,0,0,1,0
653706,93.7,4.550714000192032,High,0.17732837134179075,0.6602681824085275,-0.32273957024573297,-0.6631574673392429,-1.5980361824647868,0,1,3,58,1,1,Low,Medium,0,0,1,0,0,0,1,0,0,0,0,0,1,0
157233,93.1,4.544358046591334,High,0.1747131600242888,0.6602681824085275,-0.32273957024573297,-0.6631574673392429,0.6249303506845532,1,1,3,30,1,1,Low,Medium,0,0,0,1,0,0,1,0,0,0,0,0,1,0
157244,1962,7.5822291942764615,High,1.4246711530571883,-1.5125086116847326,-0.32273957024573297,-0.6631573148775707,-1.5980361824647868,0,1,178,41,1,1,Low,Medium,0,1,0,0,0,1,0,0,0,0,0,0,1,0
657480,3036,8.01862546504575,High,1.60423012059058,-1.5125086116847326,-0.32273957024573297,-0.6631573148775707,-1.5980361824647868,0,1,178,58,1,1,Low,Medium,0,0,1,0,0,1,0,0,0,0,0,0,1,0
157237,1386,7.234898420314831,High,1.2817589438048418,-1.5125086116847326,-0.32273957024573297,-0.6631573148775707,0.6249303506845532,1,1,178,30,1,1,Low,Medium,0,0,0,1,0,1,0,0,0,0,0,0,1,0
157240,1977,7.589841512182657,High,1.427803306183435,-1.5125086116847326,-0.32273957024573297,-0.6631571624158985,-1.5980361824647868,0,1,179,44,1,1,Low,Medium,0,1,0,0,0,0,0,0,0,1,0,0,1,0
339335,3036,8.01862546504575,High,1.60423012059058,-1.5125086116847326,-0.32273957024573297,-0.6631571624158985,-1.5980361824647868,0,1,179,44,1,2,Low,Medium,0,0,1,0,0,0,0,0,0,1,0,0,1,0
